Topic	Question	Answer
Битрикс	Написали первыми из виджета, но чат ОЛ стал переходить от менеджера к менеджеру	Из Открытых линий нельзя писать клиенту первым. Но Wazzup для вашего удобства предоставляет такую возможность, немного обходя алгоритм Битрикса. Мы как бы создаем входящее сообщение (хотя на самом деле оно исходящее), чтобы вы могли написать клиенту первыми. Из-за этой «обманки-входящего» диалог попадает в очередь Открытой линии, и чат Открытой линии переходит от одного сотрудника в очереди к другому.
Битрикс	Номер телефона из сообщений подтягивается в контакт	Проверить, подключены ли ОЛ. Если подключены, то попросить прислать скриншот из Битрикс-Контакт-центр-WAZZUP:WhatsApp-в настройках ОЛ-раздел Очередь. Особенно нас интересует пункт Включить чат-трекер. Если на скрине у клиента он включен, говорим, чтобы выключил. https://monosnap.com/file/51JTl0APtC7q1wmemq40rvFN9XUyEe  Если чат-трекер выключен или если ол не подключены, попросите прислать приглашение в битрикс на почту support@wazzup24.com и передайте Тане с комментом. Приглашение можно отправить только из облачного битрикс.  Если у клиента коробка битрикс, нужны логин и пароль админа битрикса.
Битрикс	Дубли сделок/лидов, без ОЛ	Если клиент пишет, что у него дубли сделок/лидов создаются, просим прислать скриншот оригинала сделки/лида и ее дубля, чтобы было видно данные контакта, адресную строку браузера. На скриншотах сверяем, один ли номер телефона указан. Если номер один, то передаем задачу на л3. Для л3 на скриншотах необходимо, чтобы было видно адресную строку браузера, источник сделки.
Битрикс	Дубли сделок/лидов при ОЛ	Если клиент пишет, что у него дубли сделок/лидов создаются, просим прислать скриншот оригинала сделки/лида и ее дубля, чтобы было видно данные контакта, адресную строку браузера. На скриншотах сверяем, один ли номер телефона указан. Скриншоты также должны быть информативны, содержать источник, ленту сделки. Если номер один, то просим прислать приглашение на нашу почту support@wazzup24.com и передаем Тане. Приглашение можно отправить только из облачного битрикс.  Если у клиента коробка битрикс, нужны логин и пароль админа битрикса.
Битрикс	Не отображается кнопка Wazzup в сделках/лидах/контактах у одного из сотрудников	Проверьте, пожалуйста, добавлен ли сотрудник в Битрикс-Маркет-Установленные-Права доступа. https://wazzup24.com/help/ru/bitrix24-ru/open-chat-access-ru/
Битрикс	В БП сообщения отправляются без разделений и переноса	Нужно переустановить интеграцию. После переустановки поле для текста в настройках действия в Бизнес процессе будет иметь тип "текст", а не "string", и всякие переносы строк там должны сохраниться.
Битрикс	Коды ответов бизнес-процессов	200 - 'Сообщение успешно отправлено, message id: "guid сообщения"' 200 - 'Сообщения успешно отправлены, messages id's: "guid'ы сообщений"' 400 - 'Bitrix bizproc error: Wrong user role' 400 - 'Bitrix bizproc error: Bad channel' 400 - 'Bitrix bizproc error: No responsible' 400 - 'Bitrix bizproc error: No channel phone' 400 - 'Bitrix bizproc error: Incorrect recipients phone' 400 - 'Сообщение не отправлено из-за подозрения на спам' 400 - 'Ошибка отправки сообщения: на тарифе СТАРТ нельзя писать первым (можно только в ответ на входящее), поэтому сообщения не будут доставлены получателю. Переведите канал на тариф ПРО (настройки - каналы) и функция 'написать первым' станет доступна' 400 - '=== SYSTEM WZ === Проблема с отправкой сообщения, обратитесь в поддержку Wazzup: id ошибки "guid ошибки"' 404 - '=== SYSTEM WZ === Проблема с отправкой сообщения, обратитесь в поддержку Wazzup: id ошибки "guid ошибки"' 405 - 'Bitrix bizproc error: No WhatsApps' 406 - 'Payload Too Large' 406 - 'Cannot download content' 500 - 'Произошла ошибка: 500 Internal server error'
Битрикс	Ошибка "License check fail" при установке на коробку Битрикс24 или при открытии ваззап в битрикс	Судя по ошибке, причина в лицензии коробочной версии Битрикс. Проверьте, пожалуйста, активна ли лицензия и позволяет ли она устанавливать приложения.
Битрикс	Убрать сообщения из живой ленты	Чтобы сообщения не отображались в живой ленте, перейдите в раздел CRM на левой панели Битрикс24 → нажмите «Настройки» → «Другое» → «Прочие настройки» → вкладка «Живая лента» → снимите галочку «Отображать сообщения и дела в общей живой ленте» и нажмите «Применить».     Инструкция на сайте Битрикс24 https://helpdesk.bitrix24.ru/open/5493913/
Битрикс	Из бизнес процесса отправить сообщение сотрудникам	В поле получатель можно добавить любой номер телефона, главное чтобы он был правильным. 
Битрикс	Сотрудник видит диалог другого Менеджер видит чужие диалоги	Для Л1: Кому показываем диалоги с ролью менеджер: - если лид закрыт, то покажем всем у кого включен ползунок получает новых клиентов; - если лид открыт, то только ответственному; - если сделка открыта, то только ответственному; - если контакт, то только ответственному; - если сделка закрыта, не показываем никому, только ответственному за контакт. Запроси ниже инфу и сравни с логикой, которая описана выше. Обязательно проверь роль сотрудника в ЛК клиента.  Пришлите, пожалуйста, следующее: - от лица сотрудника скриншот диалога который он видит, но не должен и имя сотрудника; - скриншот сделки по этому контакту, чтобы было видно ответственного, данные контакта и адресную строку браузера; - скриншот карточки этого контакта, чтобы было видно ответственного и адресную строку браузера; - скриншот из поиска битрикс по номеру телефона, чтобы было видно, что нет дублей контакта. А если есть, то проверить контакты, возможно, сотрудник в какой-то карточке является ответственным.  Примеры нужных скриншотов также прикладываю: https://monosnap.com/file/dgUHQsZBXs3MKSecoWSrXPPN0iT0st https://monosnap.com/file/p6Yay8jWWUzBQCZt0HquQbw6d9YXjY https://monosnap.com/file/YMsvQ0zRU7j6uukJTjmhW9RExH8oDT https://monosnap.com/file/f4GslC0zKyPMxswgquHwqDUgjldqGn  Если менеджер не ответственный ни в какой сущности, но все равно видит диалог: Попроси клиента: смените, пожалуйста, ответственного в карточке контакта на другого и верните обратно. Проверьте, после этого сотрудник будет прожолжать видеть диалог?  Если и после этого видит - попроси прислать токен и со всеми скриншотами создавай задачу на л3. Пришлите, пожалуйста, токен от этого сотрудника: ему нужно открыть наш виджет в битрикс - дважды кликнуть на Wazzup наверху слева - скопировать токен и прислать нам https://monosnap.com/file/brELEnra8kKzt8KkThTvmj4myQ7OQf
Битрикс	Откуда отправляется сообщение "Добро пожаловать в открытую линию.." и как отключить	Сообщение отправляется, если у клиента подключены ОЛ Отключить можно так: Битрикс- Контакт-центр - WAZZUP:WhatsApp/Instagram (зависит от подключенного мессенджера) - Настроить- раздел Автоматические действия https://monosnap.com/file/NS4P8Z62h95cLXFuSIJYfA7GFH4kGD  Для отключения необходимо снять галку и нажать Сохранить.
Битрикс	Откуда отправляется сообщение "Оцените качество обслуживания..." и как отключить	Сообщение отправляется, если у клиента подключены ОЛ и оно отправляется по заверешнию диалога. https://helpdesk.bitrix24.ru/open/5667405 Оно настраивается в Битрикс - Контакт-центр - WAZZUP:WhatsApp/Instagram (зависит от подключенного мессенджера) - Настроить - раздел Оценка качества https://monosnap.com/file/R22mtZMR4QXAYSf8H2AHD16cgz3PpU  Для отключения необходимо снять галку и нажать Сохранить.
Битрикс	Откуда "Продолжая общение в этом чате вы даете согласие..." в чате ол и как отключить	Сообщение отправляется, если у клиента подключены ОЛ Отключить можно так: Битрикс - Контакт-центр - WAZZUP:WhatsApp/Instagram (зависит от подключенного мессенджера) - Настроить - раздел Соглашение. https://monosnap.com/file/WaNvP8923KHAMohDwGxxRyTSreztgI  Для отключения необходимо снять галку и нажать Сохранить.
Битрикс	Почему Соглашение в чате ол выглядит нормально, а в нашем чате ссылкой	Для л1! Клиентам эти скрины не над скидывать, это скрины другого клиента) Пример: соглашение в чате ОЛ: https://monosnap.com/file/9dsVnb6FlF1kRbpE4PQPoRY4jTVD6b Это же соглашение в чате Wazzup: https://monosnap.com/file/vXqxKIiIHeKEYD8SfOCrxnBak49QwH  Ссылка отправляться будет так, потому что whatsapp не воспринимает ссылки "зашитые" в текст, и передает ссылку таким образом
Битрикс	Настройка распределения сделок "Первый ответивший из группы"	Если в п. 3 настроек интеграции выбрано «Нового клиента получает первый ответивший менеджер», то: — если ответственный не назначен — уведомление о сообщении уйдет всем менеджерам, у которых в п. 1 настроек интеграции «Выберите роли сотрудников» включен ползунок «Получает новых клиентов»;  — если в п. 3 вкладки «Дополнительно» настроек интеграции включена настройка «Уведомлять руководителей по всем сообщениям» — уведомления будут приходить еще и всем сотрудникам с ролью «Руководитель»; — когда клиенту кто-то ответит — уведомления бота пропадут у всех, кроме того, кто ответил клиенту. Теперь уведомления по этому клиенту будут приходить только ему и «Руководителям» с включенной настройкой «Уведомлять руководителей по всем сообщениям». — если ответить клиенту нечего — нажмите на красный конверт в чате с клиентом, чтобы сбросить уведомление о неотвеченных сообщениях. Тогда строка с клиентом пропадет из чата уведомлений и не будет никого отвлекать.
Битрикс	У сотрудника при открытии Ваззап ошибка, что приложение не найдено	Проверьте, пожалуйста, есть ли сотрудник в списке с правами доступа: зайдите в «Маркет» на левой панели Битрикс24 → сверху вкладка «Установленные» → выберите Wazzup и зайдите в «Права доступа». Если сотрудника нет в списке — добавьте его туда. https://wazzup24.com/help/ru/bitrix24-ru/open-chat-access-ru/
Битрикс	У сотрудника при открытии Ваззап "Список чатов пока пуст"	У клиента нужно спросить, как зовут сотра и проверить роли в настройках интеграции у него. Если вы не видите имя сотрудника, которого хотите добавить, то нажмите наверху кнопку "обновить данные из CRM".  Если используете интеграцию с Битрикс, проверьте также добавили ли сотрудника в правах доступа приложения - https://monosnap.com/file/l3q2MxTMQRk0aLGYhe3gd1AHQtmTic
Битрикс	На какой номер БП отправит сообщение	Если в карточке контакта один номер — Wazzup проверит есть ли на номере WhatsApp. Если WhatsApp есть — отправим сообщение, если его нет — вернем в Битрикс24 ошибку.  Бывает, что у одного клиента несколько номеров в карточке контакта. Если Битрикс24 передал Wazzup несколько номеров, то Wazzup обработает их следующим образом: https://monosnap.com/file/4VfIbxTOhAOVz7nSMhHGu1LIKls6mj
Битрикс	Что нужно для обращения в ТП Битрикс	Облачный или коробочный битрикс Л1 проверяют сами, не надо весь текст отправлять.  Если коробочный Битрикс: Логин и пароль админской учетной записи. Это может быть как текущий администратор, так и вновь созданный. В целях безопасности, рекомендуем после того как Битрикс решит ваш вопрос, поменять пароль у этой учетной записи.   Облачный Битрикс: Email администратора Битрикс24 - этому пользователю тех. поддержка Битрикс отправит запрос на доступ. Этот запрос появится в чатах Битрикс. Нужно нажать на кнопку "Одобрить" или "Предоставить". Это не обязательно должен быть пользователь, который устанавливал интеграцию. Но это должен быть именно администратор вашего Битрикса. Важно не пропустить этот запрос от Битрикс, иначе решение вашего вопроса сильно затянется.   Мы в ваш Битрикс заходить не будем, мы только передаем данные техническим специалистам Битрикс.  Ожидаю информацию от вас, чтобы мои коллеги сформировали запрос в Битрикс.
Битрикс	Как заполняется поле Instagram	Для Л1!! При первичном обращении от клиента МЫ ВСЕГДА ДОЛЖНЫ ЗАПОЛНЯТЬ ПОЛЕ ИНСТЫ. Без разницы ОЛ или не ОЛ, не заполняем только при повторном. Если лид повторный и по нему уже есть контакт, то в этом нет смысла, потому что поле будет заполенено в контакте. Если ранее лид обращался, но его забраковали и сделку+контакт из него не создавали и лид обратился повторно, тогда нужно будет заполнять поле вручную. Если при первичном обращении, не важно, через ОЛ или нет, поле не заполнилось - ведем на л3
Битрикс	Рассылка через crm-маркетинг	У нас есть инструкция как сделать рассылку через срм-маркетинг https://wazzup24.ru/help/kak-otpravit-rassylku-s-pomoshhju-crm-marketinga-v-bitriks24/
Битрикс	Не отображается ползунок Добавить в ОЛ в ЛК	Если интеграцию только добавили, в Контакт-центре нажали подключить, то в ЛК необходимо нажать Обновить данные из срм
Битрикс	Как голосовые отображаются в сделке/контакте/лиде (без ОЛ)	Голосовое отображается так: https://monosnap.com/file/PU8BwcVnX1DBxdozlv2CjTXcKzmy2e Если кликнуть на Аудиосообщение, то откроется новая вкладка, в которой можно прослушать.
Битрикс	Как голосовые отображаются в чате ОЛ	Голосовые отображаются так: https://monosnap.com/file/tDxofrroDjpgj69GRZQgir465Fms4Y Если на него кликнуть, оно открывается в этой же вкладке и можно прослушать: https://monosnap.com/file/LY3BY61NFFhdw4yyNZ89NxD1Cf9MKG
Битрикс	Мобильное приложение Битрикс	Если вы работаете через наши чаты Wazzup - https://help.wazzup24.com/ru/messaging-in-bitrix24-mobile-app-ru/ Если работаете через открытые линии Битрикс - https://help.wazzup24.com/ru/write-in-the-bitrix24-mobile-application-to-an-open-channel-ru/
Битрикс	Как отличить облачный битрикс от коробки	У облачного битрикс в конце домена будет указано .bitrix24.ru/kz/ua и др. Пример облачного битрикс: https://lalala.bitrix24.ru Пример коробки: https://lalala.ru
Битрикс	Коробочная версия  должна быть на https или http?	Коробочная версия Битрикс должна быть только с протоколом https
Битрикс	В какой чат ОЛ робот отправит сообщение, если подключено несколько мессенджеров в ОЛ	Если в Открытых линиях с контактом несколько чатов в разных мессенджерах — робот отправит сообщение во все активные чаты в Открытой линии. 
Битрикс	В сделках ответственный один, а комментарии от другого	В сделке комментарии отображаются от имени того, кто ставил интеграцию — от имени администратора. Сделать так, чтобы комментарии записывались от того, кто пишет клиенту - не получится:("
Битрикс	Источники Битрикс прочий трафик	В источниках Битрикс24 указать наш Instagram нельзя. Вся активность фиксируется, как «прочий трафик». Мы взаимодействуем с различными приложениями по аналитике: Roistat, Яндекс.Метрика, Google.Analytics 
Битрикс	Чаты ол из "будущего"/задачи с типом чат	Это стандартный функционал и он не отключается/не настраивается, при создании диалога автоматически создается задача с типом чат (срок окончания задачи зависит от потенциального срока закрытия диалога).  Срок задачи зависит от потенциального срока закрытия диалога, т.е в настройках, например, диалог должен быть полностью закрыт через 1 день, вот пришел чат и автоматом задача со сроком в день, если за это время не поставили галочку или чат не закрыли, то будет просрочена задача. Настройка в ОЛ-Автоматические действия-"Время последней активности для автозакрытия диалога"
Битрикс		Это функционал Открытых линий. На левой панели Битрикс24 зайдите в «Контакт-центр» → Wazzup → выберите Открытую линию → «Настроить» → раздел "Очередь" → настройка «Информация о сотрудниках» → «Скрывать информацию об операторах».
Битрикс	Как через бп отправить смс, если на номере нет WhatsApp	🧐 Посмотрите, пожалуйста, нашу инструкцию по настройке бизнес-процесса https://help.wazzup24.com/ru/bitrix24-ru/configure-business-process-by-error-codes-ru/
Битрикс	Как автоматически создавать ОЛ и отправлять сообщение	🧐 Посмотрите, пожалуйста, нашу инструкцию по созданию чата Открытой линии и отправке сообщения роботами https://help.wazzup24.com/ru/bitrix24-ru/write-first-to-the-open-channel-ru/
Битрикс	Можно ли в битрикс настроить отправку сообщения в зависимости от того, какую цифру отправил клиент?	Стандартным функционалом бизнес-процессов или роботов такое реализовать не получится, так как они не умеют реагировать на то, что находится в сообщении клиента ¯\_(ツ)_/¯
Битрикс	Канал коммуникации не настроен	Пришлите, пожалуйста, полный скриншот чата открытой линии, в котором появилась ошибка Смотрим вверху в названии, указан наш канал ОЛ или что-то другое: 1. Если что-то другое, то просим завершить текущий чат ОЛ и создать новый уже с нашего канала 2. Если указан наш канал, то просим переподключить ОЛ, завершить чат и открыть его заново. Написать сообщение клиенту и проверить после этого Если проблема сохраняется, то ведем на л2 Тане
Битрикс	ОЛ подключены, но появляется надпись Подключите коннектор к открытой линии	1. Перейдите, пожалуйста, в личный кабинет Wazzup → раздел интеграция с CRM → выберите канал → в правом верхнем углу настроек выключите ползунок «Добавить в Открытую линию» → нажмите кнопку «Сохранить» на верхней панели. 2. Включите обратно ползунок «Добавить в Открытую линию» → нажмите кнопку «Сохранить» на верхней панели. 3. Вернитесь в «Контакт-центр», обновите страницу.
Битрикс	Ошибка  ERROR_OAUTH: Application not installed	Ошибка возникает, если приложение Wazzup не установили из маркетплейс битрикс
Битрикс	Как работает распределение в Открытой линии	Распределение обращений между сотрудниками в очереди: — Строго по очереди. Каждое новое обращение будет направлено на первого сотрудника в очереди и только если он не ответит – на следующего. — Равномерно. Новое обращение придет к наименее загруженному менеджеру, система будет учитывать не только количество, но и время обработки обращений.  — Одновременно всем. Сообщения приходят одновременно в чат всем ответственным за обработку и тот, кто первый на него ответит и будет вести диалог.  https://helpdesk.bitrix24.ru/open/9416635/
Битрикс	Как узнать версию/ лицензию/ срок действия коробки	Пройдите авторизацию по ссылке https://адрес домена/bitrix/admin/update_system.php, где «адрес домена» замените на действующий доменный адрес.  Откроется страница с информацией о вашей лицензии. Проскрольте страницу ниже до строки «Лицензионный ключ»: https://su-ab.com/bitrix/images/version-bitrix24.png  https://su-ab.com/info/articles/pro-korobku-bitrix24/ver-key-edition-bitrix/
Битрикс	Статус доступности битрикс	Статус доступности битрикс можно проверить по этой ссылке: https://status.bitrix24.ru/
Битрикс	Общие настройки открытых линий	Как пользоваться открытыми линиями https://bizprofi.ru/blog/kak-polzovatsya-otkrytymi-liniyami-v-bitriks24/  Открытые линии в Битрикс24 собирают сообщения с каналов, распределяют их по очереди, маршрутизируют между сотрудниками. https://helpdesk.bitrix24.ru/open/2448369/
Битрикс	Как работает сквозная аналитика	Как работает наш вариант сквозной аналитики(Google Analytics/Roistat/Яндекс.Метрика): -Клиент приходит на сайт; -Пишет в WhatsApp с сайта(в сообщение подставляется номер визита); -Номер визита записывается в поле в CRM; -Дальше из этого поля информацию подхватывает интеграция с Google Analytics/Roistat/Яндекс.Метрика. Поскольку мы не работаем с UTM-метками, мы не передаем никакие данные в сквозную аналитику Битрикс. Сквозная аналитика Битрикс и аналитика вышеупомянутых сервисов никак не связанны между собой при работе с нами. Отчёты можно посмотреть в кабинете Google Analytics/Roistat/Яндекс.Метрики.
Битрикс	Как в ОЛ выглядит коммент к посту/ответ на сторис	Комментарий к посту: https://monosnap.com/file/60pPbiB1bbACGH5INJfVVbjSZvTHqd При клике на слово "посту" - откроется новая вкладка с этим постом, к которому оставили комментарий  Ответ на сторис: https://monosnap.com/file/ae3OsbKJjyoG782U48ES8z2LvD1pHc
Битрикс	После переустановки интеграции с битрикс, сотрудник не видит свои чаты/видит чужие	После переустановки интеграции, у нас нет инфы об ответственных, пока виджет из сделки не откроют Клиенту нужно либо из сделки открывать виджет, чтобы информация подтянулась, либо внести массовые изменения в карточки Как внести массовые изменения: https://helpdesk.bitrix24.ru/open/9634283/
Битрикс	Если создавать сделку через чемодан, можно ли выбрать воронку и этап где она будет создана	Нет, сделка будет создана в воронке и этапе, который выбран в настройках интеграции в лк ваззап
Битрикс	В битриксе надпись "Доступно обновление приложения. Обратитесь к администратору портала"	Обновить можно в маркете https://monosnap.com/file/EQccMbkaf72ZMYwSMTX8makKHEN9Wh
Битрикс	Не создался чат после имитации смс	1. Проверяем, добавлен ли канал в открытые линии в ЛК  2. В контакт-центре Битрикс - Список диалогов вводим номер, на который робот должен был отправить сообщение. Номер вводим без "+" "-" и разделителей, в формате 79886663311 Проверяем, есть ли открытые чаты ОЛ по номеру. Если чаты есть, закрываем чат и пробуем запустить роботов повторно Если чатов ОЛ нет, создаем подзадачу в обращении на Таню
Битрикс	Куда можно перейти из уведомления в чат-боте ваззап	Если настроено, что создаются лиды, то из уведомлении можно будет перейти только в лид Если настроено, что создаются сделки, то из уведомления можно будет перейти в сделку или контакт  https://monosnap.com/file/NXWOpnvWRs5IxKse3lDgFey2USNXe8
Битрикс	Ошибка "сообщение не доставлено"	Смотрим, коробочный Битрикс или облачный.  Если коробка, спрашиваем массово или нет. Если случай единичный, просим отправить сообщение повторно. Если массово - просим переустановить интеграцию и проверяем после этого.  Если облако -просим отправить повторно. Если снова ошибка и проблема массовая, просим: скриншот чата с ошибкой, точное время отправки сообщения, часовой пояс и дата отправки, ссылку на контакт из битрикс, где прикреплен проблемный чат.  с этой инфой на л2 Тане  У облачного битрикс в конце домена будет указано .bitrix24.ru/kz/ua и др. Пример облачного битрикс: https://lalala.bitrix24.ru Пример коробки: https://lalala.ru
Битрикс	Если в коробке появилась ошибка {"ok":false,"body":{"error":"insufficient_scope","error_description":"The request requires higher privileges than provided by the access token"}	Надо обновить платформу: https://bitrix.la-richesse.ru/bitrix/admin/update_system.php  , чтобы стали доступны все актуальные обновления, понадобится поднять версию PHP до 7.4. Перед установкой обновлений рекомендуется выполнить резервное копирование: https://testtask.3093609.ru/bitrix/admin/dump.php https://wazzup.planfix.ru/task/426687
Битрикс	Если у клиента много лишних источников Wazzup, которые не удаляются вручную или после удаления появляются снова	передаем Тане на л2, тут нужно обращаться в поддержку Битрикс 
Битрикс	Подтягиваются ли групповые чаты ва в ол	Неть, не подтягиваются, групповые чаты отображаются только в нашем виджете
Битрикс	Ошибка в битрикс “Приложение заблокировано за превышение нагрузки”	передаем Тане на л2, тут нужно обращаться в поддержку Битрикс
Битрикс	Сообщения не попадают в ОЛ Битрикс 	Просим скриншот из нашего окна чатов Wazzup, смотрим, есть ли сообщение там  Далее просим скопировать оттуда номер контакта и ввести его в поиске по Списку Диалогов в Контакт-центре Смотрим, есть ли чаты ОЛ по этому номеру, если есть, открываем его и смотрим, поступили ли сообщения туда  Если в поиске чата не нашлось, или чат есть, но сообщения не поступили, отправляем на л2 Тане
Битрикс	Не отправилось сообщение в сделке/лиде роботом	Просим скриншот карточки сделки/лида, по которой запустили робота Проверяем, есть ли запись об отправке в карточке (чаще всего она есть, будет написано, что сообщение отправлено) Если запись об отправке есть, но фактически сообщение не ушло - проверяем, кто ответственный в сделке/лиде, смотрим, выставлена ли у него роль в настройках ЛК, если роль сразу в нескольких каналах -смотрим какой приоритетный канал у этого юзера  если всё в порядке с настройками, ставим задачу на л2 Тане со скриншотом сделки/лида
Битрикс	Не приходят уведомления о новом сообщении в ОЛ 	У всех сотрудников не работают уведомления или у кого-то конкретного? Те, у кого не работает, есть в очереди в настройках ОЛ?  Не запущено ли десктопное приложение Битрикс у этих сотрудников? Может быть такое, что сообщения первого оператора по умолчанию открываются в десктопном приложении, если запущено десктопное приложение, то всплывающие уведомления в браузере приходить не будут.  Начат ли рабочий день? (если пользуются этим) Не блокирует ли сам браузер уведомления? (лучше всего проверить, как будет в другом браузере) если всё проверили, идем на л2 к Тане
Битрикс	Как выбрать воронку, если подключены ОЛ	Если настроена интеграция через открытые линии, то эти настройки производятся на стороне Битрикс Нужно перейти в Контакт-центр - Wazzup - Настройки - раздел Очередь - пункт "если клиент не найден в СРМ" https://monosnap.com/file/SwwPz33bG1rcFWJU8zKjIZp6aRLbse  Там можно выбрать создание сделки или лида и выбрать воронку, в которой будет создана сделка или лид https://monosnap.com/file/iADXuOgFarZHUm2PWxEmAncfTdkA8f
Битрикс	Не отображается счетчик уведомлений на значке чат-бота Wazzup справа 	Уточняем, у какого сотрудника не появляется значок и какая у него роль в ЛК?  Проверяем, не открыт ли чат-бот Wazzup у этого сотрудника в соседней вкладке в браузере (если открыт, то цифра на счетчике отображаться не будет). Просим клиента выполнить следующие действия под учетной записью пользователя у которого возникла проблема: - перейдите в профиле пользователя в раздел "Безопасность" - на вкладке ""Авторизация"" нажмите кнопку "выйти со всех устройств" - авторизуйтесь только на том устройстве, на котором ведётся работа После этого проверить корректно ли обновляется счетчик уведомлений  если нет, то ведем на л2 Тане
Битрикс	БП зависает в статусе "ожидает ответ от приложения" 	Запрашиваем скриншот сущности, по которой запустили БП и скриншот журнала БП в этой сущности Также просим скриншот настроек бизнес-процесса (общий, всей цепочки и нашего активити в частности) с примерами ведем на л2 Тане
Битрикс	Дубли чатов	Дубли чатов появляются из-за дублей контактов в срм У битрикс есть подробная статья по поиску и объединению дубликатов https://helpdesk.bitrix24.ru/open/10649014/
Блюсэйлс	Как инициировать диалог в блюсэйлс	В интерфейсе BlueSales такой возможности нет. Написать клиенту первым можно из чатов в личном кабинете Wazzup.
Документы	Клиент просит справку о резидентстве	Справки  https://drive.google.com/file/d/1cOpr-817a2DDXXni-xy2t7aUTBasPFZp/view?usp=sharing https://drive.google.com/file/d/1pdv7vTKIWh-FDBPcSix1dpKNNRMFP_jk/view?usp=sharing
Документы	Почему в документах стоит статус №1	Мы являемся плательщиками НДС, но он у нас нулевой. Мы на ОСНО (основной системе налогообложения) и мы обязаны выставлять счета фактур.  Поэтому выставляем со статусом 1.
Документы	Как создать акт/упд с печатью, если не получается его найти в файлах	1. Вводим номер а/акта в поиске в планфикс и в разделе "Задачи" ищем задачу, где будет указана сумма, номер а, назначение платежа: https://monosnap.com/file/ryzNKjwRSYobBlQLyQol1yYlE0b7HT 2. Переходим в эту задачу и нажимаем на скрепку: https://monosnap.com/file/bURRCMrCTazy5gfiJiooH0WOl3oZ2X 3. Выбираем "Документ по шаблону" и там "Акт с печатью" или "УПД с печатью": https://monosnap.com/file/VL4jxlrKMYEVyaNHM74BoHqkvUfGgx 4. Проверяем тип файла, нужно, чтобы pdf был, нажимаем добавить и после сохранить: https://monosnap.com/file/GoPq64qTp9uR6SEBvzetKfnMjYlOsG 5. Проверяем чтобы на получателях не стояла галка и отправляем: https://monosnap.com/file/Y53KXz3FynHLkXxPId5AHqHwjeH9HL
